廠牌車系代號,,車種,車系
,,,
01,01,小客車,速利
01,02,小客車,新速利
01,03,小客車,吉利
01,04,小客車,勝利
01,05,小客車,飛羚
01,06,小客車,尖兵
01,07,小客車,寶馬
01,08,小客車,雷鳥
01,09,小客車,快得利
01,10,小客車,頂好
01,11,小客車,萬利
01,12,小客車,樂利
01,13,小貨車,雷鳥
01,14,小貨車,寶馬
01,15,小貨車,頂好
01,16,小客車,精兵
01,17,小客車,霹靂馬
01,18,小客車,福滿多
01,19,小貨車,福滿多
01,20,小客車,MARCH
01,21,小客車,其他-21
01,22,小貨車,其他-22
01,23,小貨車,其他-23
01,24,小客車,新尖兵
01,25,小客車,Cefiro
01,26,小貨車,新勁旺
01,27,小客車,Verita
01,28,小貨車,勁勇
01,29,客貨兩用車,Serena Q-RV-客貨
01,30,小客車,X-Trail-小客車
01,31,小客車,Teana
01,32,客貨兩用車,X-Trail-客貨兩用車
01,33,小客車,Tiida
01,34,小客車,Bluebird Sylphy
01,35,小客車,Livina
01,36,大貨車,UD重車
01,37,小客車,Serena-小客車
01,38,小客車,KICKS
01,39,小型特種車,其他-小型特種車
02,01,小客車,好馬
02,02,小客車,鈴木吉星(Escudo)
02,03,小型特種車,好馬
02,04,小貨車,好馬
02,05,大客車,好馬
02,06,小客車,鈴木福星
02,07,小貨車,鈴木吉星(Grand Vitara)
02,08,客貨兩用車,好伙伴(Every)
02,09,小貨車,馬上發(Carry)
02,10,小客車,Grand Vitara
02,11,小客車,Solio
02,12,小客車,Landy
02,13,小貨車,Solio
02,14,小客車,Swift
03,01,小客車,跑天下
03,02,小客車,全壘打
03,03,小客車,天王星
03,04,小客車,新天王星
03,05,小客車,載卡多
03,06,小客車,新載卡多
03,07,小客車,新全壘打
03,08,小客車,金全壘打
03,09,小客車,好幫手
03,10,小客車,嘉年華
03,11,小客車,千里馬
03,12,小客車,全家福
03,13,小型特種車,小型特種車
03,14,小貨車,載卡多
03,15,小貨車,新載卡多
03,16,小貨車,好幫手
03,17,小客車,Liata
03,18,小客車,Aztec
03,19,小客車,MONDEO
03,20,小客車,Tierra
03,21,小客車,Activa
03,22,小客車,MAV
03,23,小客車,Escape
03,24,小客車,Focus
03,25,小客車,I-Max
03,26,小客車,Smile
03,27,小客車,Fiesta
03,28,客貨兩用車,Kuga
03,29,小型特種車,I-Max
03,30,小客車,其他-小客車
03,31,小客車,Escort
04,01,小客車,喜美1.4系
04,02,小客車,喜美1.5系
04,03,小客車,喜美1.6系
04,04,小客車,喜美Collection
04,05,小客車,雅哥
04,06,小客車,新喜美
04,07,小客車,新雅哥
04,08,小客車,City
04,09,小客車,其他-09
04,10,大客車,其他
